Category,,,,,,User_query,Chatbot_response 
,,,1.3.1.5,อุปกรณ์บันทึกข้อมูล,,อุปกรณ์บันทึกข้อมูลคืออะไร,อุปกรณ์บันทึกข้อมูลคืออุปกรณ์ที่ใช้เก็บข้อมูล เช่น ฮาร์ดดิสก์ แฟลชไดรฟ์ ซีดี
,,,1.3.1.6,อุปกรณ์เสริมการใช้งาน,,อุปกรณ์เสริมการใช้งานมีอะไรบ้าง,อุปกรณ์เสริม เช่น การ์ดจอ หูฟัง ลำโพง เว็บแคม
,,1.3.2,ซอฟต์แวร์,,,,
,,,1.3.2.1,ความหมายของซอฟต์แวร์,,ซอฟต์แวร์คืออะไร,ซอฟต์แวร์คือชุดคำสั่งหรือโปรแกรมที่ทำให้คอมพิวเตอร์สามารถทำงานตามที่ผู้ใช้ต้องการ
,,,1.3.2.2,ซอฟต์แวร์ระบบ,,ซอฟต์แวร์ระบบคืออะไร,ซอฟต์แวร์ระบบคือโปรแกรมที่ช่วยควบคุมและจัดการการทำงานของฮาร์ดแวร์ เช่น ระบบปฏิบัติการ
,,,,1.3.2.2.1,ระบบปฏิบัติการ (OS),ระบบปฏิบัติการทำหน้าที่อะไร,ระบบปฏิบัติการทำหน้าที่เป็นตัวกลางระหว่างผู้ใช้กับฮาร์ดแวร์ ควบคุมการทำงานของเครื่อง
,,,,1.3.2.2.2,โปรแกรมอรรถประโยชน์,โปรแกรมอรรถประโยชน์คืออะไร,โปรแกรมอรรถประโยชน์คือโปรแกรมที่ช่วยดูแลและบำรุงรักษาระบบ เช่น โปรแกรมสแกนไวรัส โปรแกรมจัดการไฟล์
,,,1.3.2.3,ซอฟต์แวร์ประยุกต์,,ซอฟต์แวร์ประยุกต์คืออะไร,"ซอฟต์แวร์ประยุกต์คือโปรแกรมที่ใช้ทำงานเฉพาะด้าน เช่น Word, Excel, Photoshop"
,,,,1.3.2.3.1,ซอฟต์แวร์ประยุกต์ทั่วไป,ซอฟต์แวร์ประยุกต์ทั่วไปมีอะไรบ้าง,เช่น โปรแกรมสำนักงาน โปรแกรมเล่นสื่อมัลติมีเดีย โปรแกรมเว็บเบราว์เซอร์
,,,,1.3.2.3.2,ซอฟต์แวร์ประยุกต์เฉพาะงาน,ซอฟต์แวร์ประยุกต์เฉพาะงานคืออะไร,คือโปรแกรมที่ออกแบบมาเพื่อใช้งานเฉพาะ เช่น โปรแกรมบัญชี โปรแกรมออกแบบวิศวกรรม
,,1.3.3,พีเพิลแวร์,,,,
,,,1.3.3.1,ความหมายของพีเพิลแวร์,,พีเพิลแวร์คืออะไร,พีเพิลแวร์หมายถึงบุคคลที่เกี่ยวข้องกับการใช้และพัฒนาระบบคอมพิวเตอร์
,,,1.3.3.2,นักวิเคราะห์ระบบ,,นักวิเคราะห์ระบบทำหน้าที่อะไร,นักวิเคราะห์ระบบทำหน้าที่ออกแบบและวิเคราะห์ความต้องการของระบบ เพื่อให้ตรงกับการใช้งานจริง
,,,1.3.3.3,โปรแกรมเมอร์,,โปรแกรมเมอร์คือใคร,โปรแกรมเมอร์คือผู้เขียนโปรแกรมหรือซอฟต์แวร์ให้คอมพิวเตอร์ทำงานตามที่กำหนด
,,,1.3.3.4,ผู้ดูแลระบบ,,ผู้ดูแลระบบคือใคร,ผู้ดูแลระบบคือผู้ที่จัดการ ดูแล และแก้ไขปัญหาของระบบคอมพิวเตอร์และเครือข่าย
,,,1.3.3.5,ช่างเทคนิคคอมพิวเตอร์,,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่อะไร,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่ซ่อมบำรุง ตรวจสอบ และแก้ไขปัญหาฮาร์ดแวร์
,,,1.3.3.6,ผู้ใช้งานทั่วไป,,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่อะไร,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่ซ่อมบำรุง ตรวจสอบ และแก้ไขปัญหาฮาร์ดแวร์
,1.4,ความรู้พื้นฐานในการใช้งานคอมพิวเตอร์,,,,,
,,1.4.1,การติดตั้งและการบำรุงรักษาเครื่องคอมพิวเตอร์,,,,
,,,1.4.1.1,การติดตั้งเครื่องคอมพิวเตอร์,,ขั้นตอนการติดตั้งเครื่องคอมพิวเตอร์ทำอย่างไร,การติดตั้งเครื่องคอมพิวเตอร์เริ่มจากการวางอุปกรณ์ในตำแหน่งที่เหมาะสม ต่อสายไฟ สายจอภาพ เมาส์ และคีย์บอร์ด จากนั้นเปิดเครื่องและตรวจสอบการทำงาน
,,,1.4.1.2,การใช้งานและการบำรุงรักษาเครื่อง,,ขั้นตอนการติดตั้งเครื่องคอมพิวเตอร์ทำอย่างไร,การติดตั้งเครื่องคอมพิวเตอร์เริ่มจากการวางอุปกรณ์ในตำแหน่งที่เหมาะสม ต่อสายไฟ สายจอภาพ เมาส์ และคีย์บอร์ด จากนั้นเปิดเครื่องและตรวจสอบการทำงาน
,,1.4.2,การสร้างความปลอดภัยต่อสุขภาพในการใช้งานคอมพิวเตอร์,,,,
,,,1.4.2.1,ท่านั่งทำงานกับคอมพิวเตอร์,,ควรนั่งทำงานกับคอมพิวเตอร์อย่างไร,ควรนั่งหลังตรง ปรับเก้าอี้ให้ระดับสายตาอยู่ตรงกับจอภาพ และวางแขนบนโต๊ะอย่างสบาย
,,,1.4.2.2,แสงสว่างในการใช้งานคอมพิวเตอร์,,แสงสว่างที่เหมาะสมในการใช้งานคอมพิวเตอร์เป็นอย่างไร,ควรใช้แสงสว่างที่พอเหมาะ ไม่มืดเกินไปและไม่สว่างจ้าเกินไป โดยควรหลีกเลี่ยงแสงสะท้อนจากหน้าจอ
,,,1.4.2.3,ความสว่างของจอมอนิเตอร์,,ควรปรับความสว่างของจอมอนิเตอร์อย่างไร,ควรปรับความสว่างให้พอดีกับสภาพแวดล้อม ไม่มืดจนมองยาก และไม่สว่างจนทำให้ตาล้า
,1.5,อุปกรณ์ต่อพ่วง,,,,,
,,1.5.1,เครื่องพิมพ์,,,,
,,,1.5.1.1,เครื่องพิมพ์ดอตเมตริกซ์,,เครื่องพิมพ์ดอตเมตริกซ์คืออะไร,เครื่องพิมพ์ดอตเมตริกซ์คือเครื่องพิมพ์ที่ใช้หัวเข็มกระแทกผ่านหมึกลงบนกระดาษ นิยมใช้ในงานที่ต้องการสำเนาหลายชุด
,,,1.5.1.2,เครื่องพิมพ์เลเซอร์,,เครื่องพิมพ์เลเซอร์ทำงานอย่างไร,เครื่องพิมพ์เลเซอร์ใช้แสงเลเซอร์สร้างภาพบนดรัม แล้วใช้ผงหมึกยึดติดกับกระดาษ พิมพ์ได้รวดเร็วและคมชัด
,,,1.5.1.3,เครื่องพิมพ์อิงก์เจ็ต,,เครื่องพิมพ์เลเซอร์ทำงานอย่างไร,เครื่องพิมพ์เลเซอร์ใช้แสงเลเซอร์สร้างภาพบนดรัม แล้วใช้ผงหมึกยึดติดกับกระดาษ พิมพ์ได้รวดเร็วและคมชัด
,,1.5.2,เครื่องสแกนภาพ,,,,
,,,1.5.2.1,ลักษณะการทำงานของเครื่องสแกนภาพ,,เครื่องสแกนภาพทำงานอย่างไร,เครื่องสแกนภาพทำงานโดยใช้แสงส่องผ่านเอกสารแล้วแปลงเป็นข้อมูลดิจิทัลเพื่อเก็บในคอมพิวเตอร์
,,1.5.3,เครื่องอ่านบาร์โค้ด,,,,
,,,1.5.3.1,ลักษณะการทำงานของเครื่องอ่านบาร์โค้ด,,เครื่องอ่านบาร์โค้ดทำงานอย่างไร,เครื่องอ่านบาร์โค้ดใช้แสงเลเซอร์หรือกล้องอ่านลายเส้นบาร์โค้ด แล้วแปลงเป็นข้อมูลตัวเลขหรือข้อความ
,,1.5.4,ไมโครโฟน,,,,
,,,1.5.4.1,ไมโครโฟนแบบไดนามิก,,ไมโครโฟนไดนามิกคืออะไร,ไมโครโฟนไดนามิกใช้หลักการเหนี่ยวนำแม่เหล็กไฟฟ้า แข็งแรง ทนทาน เหมาะกับการใช้งานทั่วไป
,,,1.5.4.2,ไมโครโฟนแบบคอนเด็นเซอร์,,ไมโครโฟนคอนเด็นเซอร์คืออะไร,ไมโครโฟนคอนเด็นเซอร์ใช้แผ่นไดอะแฟรมและตัวเก็บประจุในการรับเสียง ให้คุณภาพเสียงละเอียด เหมาะกับงานบันทึกเสียง
,,1.5.5,กล้องดิจิทัล และเว็บแคม,,,,
,,,1.5.5.1,ลักษณะการทำงานของกล้องดิจิทัล,,กล้องดิจิทัลทำงานอย่างไร,กล้องดิจิทัลบันทึกภาพโดยใช้เซ็นเซอร์รับแสงแล้วแปลงเป็นข้อมูลดิจิทัล เก็บในหน่วยความจำ
,,,1.5.5.2,ลักษณะการทำงานของกล้องเว็บแคม,,กล้องเว็บแคมทำงานอย่างไร,เว็บแคมคือกล้องที่เชื่อมต่อกับคอมพิวเตอร์เพื่อถ่ายทอดภาพแบบเรียลไทม์ ใช้ในการประชุมออนไลน์หรือสตรีมมิ่ง
,1.6,อุปกรณ์เคลื่อนที่,,,,,
,,1.6.1,ระบบปฏิบัติการในอุปกรณ์เคลื่อนที่,,,,
,,,1.6.1.1,ระบบปฏิบัติการ ios,,ระบบปฏิบัติการ iOS คืออะไร,iOS คือระบบปฏิบัติการที่ใช้ในอุปกรณ์ของ Apple เช่น iPhone และ iPad มีความปลอดภัยสูงและใช้งานง่าย
,,,1.6.1.2,ระบบปฏิบัติการ android,,ระบบปฏิบัติการ Android คืออะไร,Android คือระบบปฏิบัติการที่พัฒนาโดย Google ใช้ในสมาร์ทโฟนและแท็บเล็ตหลายยี่ห้อ มีความยืดหยุ่นสูง
,,,1.6.1.3,แอปพลิเคชั่นบนระบบปฏิบัติการในอุปกรณ์เคลื่อนที่ ios,,แอปพลิเคชันบน iOS มีลักษณะอย่างไร,แอปพลิเคชันบน iOS ต้องดาวน์โหลดจาก App Store และผ่านการตรวจสอบความปลอดภัยจาก Apple
,,,1.6.1.4,แอปพลิเคชั่นบนระบบปฏิบัติการในอุปกรณ์เคลื่อนที่ android,,แอปพลิเคชันบน Android มีลักษณะอย่างไร,แอปพลิเคชันบน Android สามารถดาวน์โหลดจาก Google Play Store หรือแหล่งอื่น ๆ มีความหลากหลายสูง
,1.7,ข้อมูลและสารสนเทศ,,,,,
,,1.7.1,ข้อมูล,,,,
,,,1.7.1.1,ชนิดของข้อมูล,,ข้อมูลมีชนิดอะไรบ้าง,ข้อมูลแบ่งเป็น ข้อมูลตัวเลข ข้อมูลข้อความ ข้อมูลภาพ และข้อมูลเสียง
,,1.7.2,สารสนเทศ,,,,
,,,1.7.2.1,กระบวนการของสารสนเทศ,,กระบวนการสร้างสารสนเทศคืออะไร,กระบวนการสร้างสารสนเทศเริ่มจากการเก็บข้อมูล → ประมวลผล → จัดเก็บ → นำเสนอ
,,1.7.3,ส่วนประกอบของเทคโนโลยีสารสนเทศ,,,,
,,,1.7.3.1,เทคโนโลยีด้านคอมพิวเตอร์,,เทคโนโลยีด้านคอมพิวเตอร์คืออะไร,เทคโนโลยีด้านคอมพิวเตอร์คือการพัฒนาอุปกรณ์และซอฟต์แวร์เพื่อช่วยในการประมวลผลและจัดการข้อมูล
,,,1.7.3.2,เทคโนโลยีด้านการสื่อสารและโทรคมนาคม,,เทคโนโลยีด้านการสื่อสารคืออะไร,เทคโนโลยีด้านการสื่อสารและโทรคมนาคมคือการใช้เครือข่ายและอุปกรณ์เพื่อส่งข้อมูล เช่น อินเทอร์เน็ต โทรศัพท์มือถือ
2,ระบบปฏิบัติการ,,,,,,
,2.1,ความรู้เกี่ยวกับระบบปฏิบัติการ,,,,,
,,2.1.1,ความหมายของระบบปฏิบัติการ,,,ระบบปฏิบัติการคืออะไร,ระบบปฏิบัติการคือซอฟต์แวร์ที่ทำหน้าที่ควบคุมการทำงานของฮาร์ดแวร์และเป็นตัวกลางระหว่างผู้ใช้กับเครื่องคอมพิวเตอร์
,,,2.1.1.1,ความหมายของซอฟต์แวร์ระบบ,,ซอฟต์แวร์ระบบคืออะไร,ซอฟต์แวร์ระบบคือโปรแกรมที่ช่วยจัดการและควบคุมการทำงานของคอมพิวเตอร์ เช่น ระบบปฏิบัติการ
,,,2.1.1.2,ความหมายของซอฟต์แวร์ประยุกต์,,ซอฟต์แวร์ประยุกต์คืออะไร,"ซอฟต์แวร์ประยุกต์คือโปรแกรมที่ใช้ทำงานเฉพาะด้าน เช่น Word, Excel, Photoshop"
,,2.1.2,ความสำคัญของระบบปฏิบัติการ,,,,
,,,2.1.2.1,ความสำคัญส่วนเชื่อมต่อผู้ใช้งาน,,ระบบปฏิบัติการสำคัญต่อผู้ใช้อย่างไร,ระบบปฏิบัติการทำหน้าที่เป็นส่วนเชื่อมต่อระหว่างผู้ใช้กับเครื่องคอมพิวเตอร์ ทำให้ใช้งานได้ง่าย
,,,2.1.2.2,ความสำคัญต่อการติดตั้งซอฟต์แวร์ประยุกต์,,ทำไมระบบปฏิบัติการจึงสำคัญต่อการติดตั้งโปรแกรม,เพราะระบบปฏิบัติการเป็นตัวจัดการและรองรับการทำงานของซอฟต์แวร์ประยุกต์
,,,2.1.2.3,ความสำคัญต่อการจัดการไฟล์และโฟลเดอร์,,ระบบปฏิบัติการช่วยจัดการไฟล์อย่างไร,ระบบปฏิบัติการช่วยสร้าง ลบ ย้าย และจัดการไฟล์หรือโฟลเดอร์ได้สะดวก
,,,2.1.2.4,ความสำคัญต่อการจัดสรรทรัพยากรในระบบ,,ระบบปฏิบัติการจัดสรรทรัพยากรอย่างไร,ระบบปฏิบัติการจัดสรรหน่วยความจำ ซีพียู และอุปกรณ์ต่าง ๆ ให้โปรแกรมใช้งานอย่างเหมาะสม
,,2.1.3,ประเภทของระบบปฏิบัติการ,,,,
,,,2.1.3.1,แบ่งตามลักษณะการใช้งาน,,,
,,,,2.1.3.1.1,ระบบปฏิบัติการบนเครื่องคอมพิวเตอร์ส่วนบุคคล,ระบบปฏิบัติการบน PC มีอะไรบ้าง,"เช่น Windows, macOS, Linux"
,,,,2.1.3.1.2,ระบบปฏิบัติการบนเครื่องแม่ข่าย,ระบบปฏิบัติการบนเครื่องแม่ข่ายคืออะไร,"คือระบบที่ใช้จัดการเซิร์ฟเวอร์ เช่น Windows Server, Unix"
,,,,2.1.3.1.3,ระบบปฏิบัติการบนเครื่องแท็บเล็ตและสมาร์ทโฟน,ระบบปฏิบัติการบนมือถือมีอะไรบ้าง,เช่น iOS และ Android
,,,2.1.3.2,แบ่งตามการเสียค่าใช้จ่าย,,,
,,,,2.1.3.2.1,ระบบปฏิบัติการแบบโอเพนซอร์ซ,ระบบปฏิบัติการโอเพนซอร์ซคืออะไร,คือระบบที่เปิดให้ผู้ใช้แก้ไขและพัฒนาได้ เช่น Linux
,,,,2.1.3.2.2,ระบบปฏิบัติการที่มีค่าลิขสิทธิ์,ระบบปฏิบัติการที่มีค่าลิขสิทธิ์คืออะไร,คือระบบที่ต้องซื้อสิทธิ์ใช้งาน เช่น Windows และ macOS
,2.2,ระบบปฏิบัตการไมโครซอฟต์วินโดวส์,,,,,
,,2.2.1,รุ่นการจัดจำหน่ายของวินโดวส์,,,,
,,,2.2.1.1,Windows Home,,Windows Home คืออะไร,Windows Home เป็นรุ่นสำหรับผู้ใช้ทั่วไป เน้นการใช้งานพื้นฐาน เช่น งานเอกสารและความบันเทิง
,,,2.2.1.2,Windows Pro,,Windows Pro แตกต่างจาก Home อย่างไร,Windows Pro มีฟีเจอร์ด้านความปลอดภัยและการจัดการระบบที่เหมาะกับองค์กร
,,2.2.2,รูปแบบลิขสิทธิ์ของวินโดวส์,,,,
,,,2.2.2.1,รูปแบบ OEM,,ลิขสิทธิ์ Windows แบบ OEM คืออะไร,OEM คือสิทธิ์ที่ติดมากับเครื่องคอมพิวเตอร์ใหม่ ไม่สามารถโอนย้ายไปเครื่องอื่นได้
,,,2.2.2.2,รูปแบบ FPP,,ลิขสิทธิ์ Windows แบบ OEM คืออะไร,OEM คือสิทธิ์ที่ติดมากับเครื่องคอมพิวเตอร์ใหม่ ไม่สามารถโอนย้ายไปเครื่องอื่นได้
,,,2.2.2.3,รูปแบบ VL,,ลิขสิทธิ์ Windows แบบ VL คืออะไร,VL (Volume License) คือสิทธิ์ที่ใช้ในองค์กร สามารถติดตั้งได้หลายเครื่องตามจำนวนที่ซื้อ
,,2.2.3,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์,,,,
,,,2.2.3.1,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์ 10,,,
,,,,2.2.3.1.1,ซีพียูสำหรับวินโดวส์ 10,Windows 10 ต้องใช้ CPU แบบไหน,Windows 10 ต้องการ CPU ความเร็วขั้นต่ำ 1 GHz หรือสูงกว่า
,,,,2.2.3.1.2,ความถี่สำหรับวินโดวส์ 10,ความถี่ CPU ที่รองรับ Windows 10 คือเท่าไร,ต้องมีความถี่ขั้นต่ำ 1 GHz ขึ้นไป
,,,,2.2.3.1.3,หน่วยความจำสำหรับวินโดวส์ 10,RAM ที่ Windows 10 ต้องการคือเท่าไร,Windows 10 ต้องการ RAM อย่างน้อย 1 GB สำหรับ 32-bit และ 2 GB สำหรับ 64-bit
,,,,2.2.3.1.4,พื้นที่ว่างในฮาร์ดดิสก์สำหรับวินโดวส์ 10,Windows 10 ต้องใช้พื้นที่ว่างเท่าไร,ต้องการพื้นที่ว่างในฮาร์ดดิสก์อย่างน้อย 16 GB สำหรับ 32-bit และ 20 GB สำหรับ 64-bit
,,,2.2.3.2,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์ 11,,,
,,,,2.2.3.2.1,ซีพียูสำหรับวินโดวส์ 11,Windows 11 ต้องใช้ CPU แบบไหน,Windows 11 ต้องใช้ CPU 64-bit ที่มีความเร็ว 1 GHz ขึ้นไป และมี 2 คอร์ขึ้นไป
,,,,2.2.3.2.2,ความถี่สำหรับวินโดวส์ 11,ความถี่ CPU ที่รองรับ Windows 11 คือเท่าไร,ต้องมีความถี่ขั้นต่ำ 1 GHz ขึ้นไป
,,,,2.2.3.2.3,แกนประมวลผลสำหรับวินโดวส์ 11,Windows 11 ต้องการ CPU กี่คอร์,ต้องการ CPU อย่างน้อย 2 คอร์
,,,,2.2.3.2.4,หน่วยความจำสำหรับวินโดวส์ 11,RAM ที่ Windows 11 ต้องการคือเท่าไร,Windows 11 ต้องการ RAM อย่างน้อย 4 GB
,,,,2.2.3.2.5,TPM สำหรับวินโดวส์ 11,TPM ที่ Windows 11 ต้องการคืออะไร,TPM 2.0 เป็นชิปที่ช่วยเพิ่มความปลอดภัยในการเข้ารหัสและตรวจสอบระบบ
,,,,2.2.3.2.6,ไบออสสำหรับวินโดวส์ 11,BIOS ที่ Windows 11 ต้องการคือแบบไหน,ต้องการ BIOS ที่รองรับ UEFI และ Secure Boot
,2.3,หน้าจอหลักของระบบปฏิบัติการวินโดวส์,,,,,
,,2.3.1,ส่วนประกอบในหน้าจอหลัก,,,,
,,,2.3.1.1,เดสก์ท็อป,,เดสก์ท็อปคืออะไร,เดสก์ท็อปคือพื้นที่หลักบนหน้าจอที่แสดงไอคอนและโปรแกรมต่าง ๆ
,,,2.3.1.2,ไอคอนหลักในหน้าจอหลัก,,,
,,,,2.3.1.2.1,ไอคอนผู้ใช้งาน,ไอคอนผู้ใช้งานคืออะไร,ไอคอนผู้ใช้งานแสดงข้อมูลบัญชีผู้ใช้ที่เข้าสู่ระบบ
,,,,2.3.1.2.2,ไอคอนคอมพิวเตอร์,ไอคอนคอมพิวเตอร์ทำหน้าที่อะไร,ใช้เข้าถึงข้อมูลและไดรฟ์ต่าง ๆ ในเครื่อง
,,,,2.3.1.2.3,ไอคอนถังขยะ,ไอคอนถังขยะคืออะไร,ใช้เก็บไฟล์ที่ถูกลบชั่วคราว สามารถกู้คืนหรือลบถาวรได้
,,,2.3.1.3,ปุ่มสตาร์ท,,ปุ่ม Start ทำหน้าที่อะไร,ใช้เปิดเมนูหลักเพื่อเข้าถึงโปรแกรมและการตั้งค่าต่าง ๆ
,,,2.3.1.4,แถบโปรแกรมด่วน,,แถบโปรแกรมด่วนคืออะไร,ใช้สำหรับเปิดโปรแกรมที่ใช้งานบ่อยได้อย่างรวดเร็ว
,,,2.3.1.5,แถบงาน,,แถบโปรแกรมด่วนคืออะไร,ใช้สำหรับเปิดโปรแกรมที่ใช้งานบ่อยได้อย่างรวดเร็ว
,,,2.3.1.6,แถบระบบ,,แถบระบบคืออะไร,แถบระบบแสดงสถานะต่าง ๆ เช่น เวลา เสียง และการเชื่อมต่อเครือข่าย
,,,2.3.1.7,ตัวชี้เม้าส์,,ตัวชี้เมาส์คืออะไร,ตัวชี้เมาส์คือสัญลักษณ์ที่ใช้บอกตำแหน่งการทำงานบนหน้าจอ
,,2.3.2,การตรวจสอบรุ่นของระบบปฏิบัติการวินโดวส์ที่ใช้งาน,,,,
,,,2.3.2.1,ขั้นตอนการตรวจสอบผ่านไอคอน This PC บน Desktop,,,
,,,2.3.2.2,รายละเอียดที่แสดง,,,
,2.4,การปรับแต่งหน้าจอ,,,,,
,,2.4.1,การปรับแต่งหน้าจอ,,,,
,,,2.4.1.1,View,,,
,,,2.4.1.2,Sort by,,,
,,,2.4.1.3,Display setting,,,
,,,2.4.1.4,Personalize,,,
,,2.4.2,การจัดการไอคอนหน้าจอ,,,,
,,,2.4.2.1,ใช้เมนู View,,,
,,,,2.4.2.1.1,ปรับขนาดไอคอน,,
,,,,2.4.2.1.2,กำหนดการจัดเรียงไอคอน,,
,,,,2.4.2.1.3,กำำหนดการแสดงผลไอคอน,,
,,,2.4.2.2,ใช้เมนู Sort by,,,
,,,,2.4.2.2.1,Name,,
,,,,2.4.2.2.2,Size,,
,,,,2.4.2.2.3,Item type,,
,,,,2.4.2.2.4,Date Modified,,
,,2.4.3,การปรับแต่งหน้าจอการแสดงผลด้วยเมนู Display setting,,,,
,,,2.4.3.1,ปรับแต่งขนาดตัวอักษร,,,
,,,2.4.3.2,ปรับความละเอียดการแสดงผลบนจอภาพ,,,
,,,2.4.3.3,ปรับการวางแนวของจอภาพ,,,
,,2.4.4,การเปลี่ยนภาพพื้นหลังด้วยเมนู Personalize,,,,
,,,2.4.4.1,Background,,,
,,,,2.4.4.1.1,Picture,,
,,,,2.4.4.1.2,Solid Color,,
,,,,2.4.4.1.3,Slide Show,,
,,,2.4.4.2,Colors,,,
,,,2.4.4.3,Lock Screen,,,
,,,2.4.4.4,Themes,,,
,,,2.4.4.5,Start,,,
,,,2.4.4.6,Taskbar,,,
,,2.4.5,การใช้งานโปรแกรมถนอมจอภาพด้วยเมนู Lock screen,,,,
,,,2.4.5.1,ขั้นตอนการใช้งานโปรแกรมถนอมจอภาพ,,,
,,2.4.6,การเลือกและปรับแต่งรูปแบบการใช้งานด้วยเมนู Themes,,,,
,,,2.4.6.1,ลักษณะการทำงานของการเลือกและปรับแต่งรูปแบบการใช้งานด้วยเมนู Theme,,,
,,,,2.4.6.1.1,การปรับ Themes ของ Background,,
,,,,2.4.6.1.2,การปรับ Themes ของ Color,,
,,,,2.4.6.1.3,การปรับ Themes ของ Sounds,,
,,,,2.4.6.1.4,การปรับ Themes ของ Mouse cursor,,
,,,,2.4.6.1.5,การกำหนด Desktop Icon Setting ,,
,2.5,การปรับสภาพแวดล้อมทั่วไป,,,,,
,,2.5.1,การปรับวันที่และเวลา,,,,
,,,2.5.1.1,ขั้นตอนการปรับวันที่และเวลา,,,
,,2.5.2,การปรับความดังเสียง,,,,
,,,2.5.2.1,ขั้นตอนการปรับความดังเสียง,,,
,,2.5.3,การสร้างชอร์ตคัต,,,,
,,,2.5.3.1,ขั้นตอนการสร้างชอร์ตคัต,,,
,2.6,การเปิดโปรแกรมเพื่อใช้งาน,,,,,
,,2.6.1,ขั้นตอนการเปิดโปรแกรมเพื่อใช้งาน,,,,
